Palau ,9000.0,"18,03"
Panama ,6300.0,"21,74"
Papua New Guinea ,2200.0,"29,36"
Paraguay ,4700.0,"29,1"
Peru ,5100.0,"20,48"
Philippines ,4600.0,"24,89"
Poland ,11100.0,"9,85"
Portugal ,18000.0,"10,72"
Puerto Rico ,16800.0,"12,77"
Qatar ,21500.0,"15,56"
Reunion ,5800.0,"18,9"
Romania ,7000.0,"10,7"
Russia ,8900.0,"9,95"
Rwanda ,1300.0,"40,37"
Saint Helena ,2500.0,"12,13"
Saint Kitts & Nevis ,8800.0,"18,02"
Saint Lucia ,5400.0,"19,68"
St Pierre & Miquelon ,6900.0,"13,52"
Saint Vincent and the Grenadines ,2900.0,"16,18"
Samoa ,5600.0,"16,43"
San Marino ,34600.0,"10,02"
Sao Tome & Principe ,1200.0,"40,25"
Saudi Arabia ,11800.0,"29,34"
Senegal ,1600.0,"32,78"
Serbia ,2200.0,
Seychelles ,7800.0,"16,03"
Sierra Leone ,500.0,"45,76"
Singapore ,23700.0,"9,34"
Slovakia ,13300.0,"10,65"
Slovenia ,19000.0,"8,98"
Solomon Islands ,1700.0,"30,01"
Somalia ,500.0,"45,13"
South Africa ,10700.0,"18,2"
Spain ,22000.0,"10,06"
Sri Lanka ,3700.0,"15,51"
Sudan ,1900.0,"34,53"
Suriname ,4000.0,"18,02"
Swaziland ,4900.0,"27,41"
Sweden ,26800.0,"10,27"
Switzerland ,32700.0,"9,71"
Syria ,3300.0,"27,76"
Taiwan ,23400.0,"12,56"
Tajikistan ,1000.0,"32,65"
Tanzania ,600.0,"37,71"
Thailand ,7400.0,"13,87"
Togo ,1500.0,"37,01"
Tonga ,2200.0,"25,37"
Trinidad & Tobago ,9500.0,"12,9"
Tunisia ,6900.0,"15,52"
Turkey ,6700.0,"16,62"
Turkmenistan ,5800.0,"27,61"
Turks & Caicos Is ,9600.0,"21,84"
Tuvalu ,1100.0,"22,18"
Uganda ,1400.0,"47,35"
Ukraine ,5400.0,"8,82"
United Arab Emirates ,23200.0,"18,96"
United Kingdom ,27700.0,"10,71"
United States ,37800.0,"14,14"
Uruguay ,12800.0,"13,91"
Uzbekistan ,1700.0,"26,36"
Vanuatu ,2900.0,"22,72"
Venezuela ,4800.0,"18,71"
Vietnam ,2500.0,"16,86"
Virgin Islands ,17200.0,"13,96"
Wallis and Futuna ,3700.0,
West Bank ,800.0,"31,67"
Western Sahara ,,
Yemen ,800.0,"42,89"
Zambia ,800.0,41
Zimbabwe ,1900.0,"28,01"
